"Cement","Blast.Furnace.Slag","Fly.Ash","Water","Superplasticizer","Coarse.Aggregate","Fine.Aggregate","Age","Strength"
181.4,0,167,169.6,7.6,1055.6,777.8,56,35.57
380,95,0,228,0,932,594,365,43.7
108.3,162.4,0,203.5,0,938.2,849,3,2.33
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.9
332.5,142.5,0,228,0,932,594,28,33.02
265,111,86,195,6,833,790,28,41.54
157,236,0,192,0,935.4,781.2,3,9.69
181.4,0,167,169.6,7.6,1055.6,777.8,14,21.6
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
102,153,0,192,0,887,942,7,7.68
198.6,132.4,0,192,0,978.4,825.5,3,9.13
212.5,0,100.4,159.3,8.7,1007.8,903.6,28,31.64
380,0,0,228,0,932,670,270,53.3
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5
212,141.3,0,203.5,0,973.4,750,3,6.81
193.5,290.2,0,185.7,0,998.2,704.3,7,17.2
333,0,0,192,0,931.2,842.6,90,41.68
190.7,0,125.4,162.1,7.8,1090,804,14,21.06
166.1,0,163.3,176.5,4.5,1058.6,780.1,3,10.76
531.3,0,0,141.8,28.2,852.1,893.7,56,58.8
122.6,183.9,0,203.5,0,958.2,800.1,28,24.29
500,0,0,200,0,1125,613,180,51.04
500,0,0,200,0,1125,613,14,36.94
198.6,132.4,0,192,0,978.4,825.5,28,28.02
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.7
313.3,145,0,178.5,8,867.2,824,28,40.93
251.4,0,118.3,192.9,5.8,1043.6,754.3,3,11.98
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
255,99,77,189,6,919,749,28,33.8
212,0,124.8,159,7.8,1085.4,799.5,14,31.35
382.5,0,0,185.7,0,1047.8,739.3,28,37.44
304,76,0,228,0,932,670,90,49.19
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92
146,230,0,202,3,827,872,28,33.06
277,0,0,191,0,968,856,14,21.26
475,0,59,142,1.9,1098,641,28,57.23
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
316.1,210.7,0,185.7,0,977,689.3,28,38.7
190.3,0,125.2,161.9,9.9,1088.1,802.6,3,9.45
203.5,305.3,0,203.5,0,963.4,630,7,19.54
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.94
116,173,0,192,0,909.8,891.9,7,10.09
475,0,0,228,0,932,594,28,39.29
298.1,0,107.5,163.6,12.8,953.2,784,28,35.87
212,141.3,0,203.5,0,973.4,750,7,15.03
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
424,22,132,178,8.5,822,750,56,65.7
178,129.8,118.6,179.9,3.6,1007.3,746.8,100,49.99
350,0,0,186,0,1050,770,7,20.28
500,0,0,151,9,1033,655,28,69.84
387,20,94,157,13.9,938,845,56,47.97
322,0,0,203,0,974,800,14,20.77
339,0,0,185,0,1060,754,28,31.65
290.2,193.5,0,185.7,0,998.2,704.3,28,33.04
144,15,195,176,6,1021,709,28,15.34
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,66.6
531.3,0,0,141.8,28.2,852.1,893.7,3,41.3
237.5,237.5,0,228,0,932,594,365,39
246.8,0,125.1,143.3,12,1086.8,800.9,28,52.5
218.9,0,124.1,158.5,11.3,1078.7,794.9,28,30.22
331,0,0,192,0,1025,821,7,17.44
362.6,189,0,164.9,11.6,944.7,755.8,56,77.3
387,20,94,157,14.3,938,845,7,36.84
159,149,116,175,15,953,720,28,27.68
385,0,0,186,0,966,763,1,6.27
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14,29.55
439,177,0,186,11.1,884.9,707.9,91,73.3
252.3,0,98.8,146.3,14.2,987.8,889,100,60.95
393,0,0,192,0,940.6,785.6,7,27.74
451,0,0,165,11.3,1030,745,28,78.8
249.1,0,98.8,158.1,12.8,987.8,889,56,42.03
334,17.6,158,189,15.3,967,633,28,44.33
251.4,0,118.3,192.9,5.8,1043.6,754.3,56,39.27
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
276,116,90,180,9,870,768,28,44.28
250,0,95.7,191.8,5.3,948.9,857.2,56,39.64
173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3,15.82
480,0,0,192,0,936.2,712.2,28,43.94
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
251.4,0,118.3,188.5,6.4,1028.4,757.7,3,13.12
349,0,0,192,0,1056,809,3,15.87
281,0,0,186,0,1104,774,7,14.5
331,0,0,192,0,1025,821,120,39.38
194.7,0,100.5,170.2,7.5,998,901.8,14,24.28
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57
145,0,179,202,8,824,869,28,10.54
190.3,0,125.2,166.6,9.9,1079,798.9,56,31.72
218.9,0,124.1,158.5,11.3,1078.7,794.9,14,26.05
251.8,0,99.9,146.1,12.4,1006,899.8,28,33.94
194.7,0,100.5,165.6,7.5,1006.4,905.9,56,33.96
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77
387,20,94,157,14.3,938,845,56,56.34
362.6,189,0,164.9,11.6,944.7,755.8,7,55.9
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
310,0,0,192,0,1012,830,3,11.85
212.5,0,100.4,159.3,8.7,1007.8,903.6,100,42.92
212.5,0,100.4,159.3,8.7,1007.8,903.6,56,42.55
350,0,0,203,0,974,775,14,22.53
251.4,0,118.3,192.9,5.8,1043.6,754.3,100,40.15
505,0,60,195,0,1030,630,28,64.02
300,0,0,184,0,1075,795,28,26.85
302,0,0,203,0,974,817,28,21.75
446,24,79,162,11.6,967,712,7,38.02
156,243,0,180,11,1022,698,28,37.36
251.4,0,118.3,188.5,6.4,1028.4,757.7,28,32.66
480,0,0,192,0,936.2,712.2,90,54.32
307,0,0,193,0,968,812,365,36.15
222.4,0,96.7,189.3,4.5,967.1,870.3,14,24.45
339.2,0,0,185.7,0,1069.2,754.3,7,21.18
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
475,0,0,162,9.5,1044,662,28,58.52
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,72.99
349,0,0,192,0,1047,806,3,14.99
297.2,0,117.5,174.8,9.5,1022.8,753.5,3,21.91
155,0,143,193,9,1047,697,28,12.46
158.4,0,194.9,219.7,11,897.7,712.9,28,8.54
393,0,0,192,0,940,758,28,39.58
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
310,0,0,192,0,970,850,180,37.33
296,0,0,192,0,1085,765,28,21.65
222.4,0,96.7,189.3,4.5,967.1,870.3,28,24.89
375,93.8,0,126.6,23.4,852.1,992.6,7,45.7
446,24,79,162,10.3,967,712,28,53.39
190.7,0,125.4,162.1,7.8,1090,804,3,15.04
255,0,0,192,0,889.8,945,90,21.86
173.5,50.1,173.5,164.8,6.5,1006.2,793.5,56,53.77
475,118.8,0,181.1,8.9,852.1,781.5,91,74.19
167.4,129.9,128.6,175.5,7.8,1006.3,746.6,28,41.2
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,12.45
212.1,0,121.6,180.3,5.7,1057.6,779.3,28,24.9
290.2,193.5,0,185.7,0,998.2,704.3,7,21.86
213.5,0,174.2,154.6,11.7,1052.3,775.5,3,17.37
178,129.8,118.6,179.9,3.6,1007.3,746.8,56,48.59
382,0,0,186,0,1047,739,7,24
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.1
298,137,107,201,6,878,655,28,53.52
297.2,0,117.5,174.8,9.5,1022.8,753.5,14,36.99
160,128,122,182,6.4,824,879,28,39.4
273,105,82,210,9,904,680,28,37.17
295.7,0,95.6,171.5,8.9,955.1,859.2,28,39.94
266,114,0,228,0,932,670,180,48.7
337.9,189,0,174.9,9.5,944.7,755.8,7,35.1
250,0,95.7,191.8,5.3,948.9,857.2,28,27.22
192,288,0,192,0,929.8,716.1,28,39.32
213.5,0,174.2,154.6,11.7,1052.3,775.5,100,59.3
212,0,124.8,159,7.8,1085.4,799.5,3,19.52
469,117.2,0,137.8,32.2,852.1,840.5,28,66.9
387,20,94,157,13.9,938,845,7,45.9
356,119,0,160,9,1061,657,28,59
287,121,94,188,9,904,696,28,41.94
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56,53.96
362.6,189,0,164.9,11.6,944.7,755.8,28,71.3
385,0,136,158,20,903,768,28,55.55
228,342.1,0,185.7,0,955.8,674.3,28,39.7
313,0,113,178,8,1002,689,28,36.8
427.5,47.5,0,228,0,932,594,7,35.08
359,19,141,154,10.9,942,801,3,25.12
165,0,143.6,163.8,0,1005.6,900.9,28,26.2
288,192,0,192,0,932,717.8,3,16.11
380,95,0,228,0,932,594,28,36.45
178,129.8,118.6,179.9,3.6,1007.3,746.8,14,34.24
230,0,118.3,195.5,4.6,1029.4,758.6,100,35.34
312.7,144.7,0,127.3,8,999.7,822.2,28,44.52
200,133,0,192,0,965.4,806.2,3,11.41
333,0,0,192,0,931.2,842.6,7,23.4
485,0,0,146,0,1120,800,28,71.99
310,0,0,192,0,1012,830,120,38.7
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14,38.6
212.1,0,121.6,180.3,5.7,1057.6,779.3,100,39.61
362.6,189,0,164.9,11.6,944.7,755.8,91,79.3
323.7,282.8,0,183.8,10.3,942.7,659.9,3,28.3
307,0,0,193,0,968,812,180,34.49
252.3,0,98.8,146.3,14.2,987.8,889,56,55.83
250,0,95.7,191.8,5.3,948.9,857.2,100,41.16
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3,30.45
214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28,52.2
446,24,79,162,11.6,967,712,56,56.14
230,0,118.3,195.5,4.6,1029.4,758.6,28,24.48
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3
213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9
475,118.8,0,181.1,8.9,852.1,781.5,28,68.3
350,0,0,203,0,974,775,56,29.98
475,118.8,0,181.1,8.9,852.1,781.5,3,37.8
135,105,193,196,6,965,643,28,21.91
425,106.3,0,151.4,18.6,936,803.7,7,46.8
516,0,0,162,8.2,801,802,28,41.37
321,0,128,182,11,870,780,28,37.26
116,173,0,192,0,909.8,891.9,28,22.35
393,0,0,192,0,940.6,785.6,90,48.85
212,141.3,0,203.5,0,973.4,750,90,39.7
165,128.5,132.1,175.1,8.1,1005.8,746.6,3,19.42
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74
212,0,124.8,159,7.8,1085.4,799.5,28,38.5
213.5,0,174.2,154.6,11.7,1052.3,775.5,14,33.7
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42
